,gender,NationalITy,PlaceofBirth,StageID,SectionID,Topic,Semester,Relation,raisedhands,VisITedResources,AnnouncementsView,Discussion,ParentAnsweringSurvey,ParentschoolSatisfaction,StudentAbsenceDays,Class,GradeID
38,1,9,4,1,1,1,2,2,75,81,51,34,1,2,2,1,1
39,1,4,4,3,2,2,2,2,59,90,19,43,1,2,2,1,5
40,2,3,3,3,1,4,2,2,74,60,56,37,1,2,2,1,4
41,1,4,4,3,1,4,2,2,97,87,82,86,1,2,2,1,4
42,1,4,4,1,2,5,2,2,24,97,15,14,1,2,2,1,1
43,1,4,4,1,2,5,2,2,23,82,20,30,1,2,2,1,1
44,1,5,5,1,1,7,2,2,80,87,72,60,1,2,2,1,2
45,1,4,4,1,1,11,2,2,72,74,82,89,1,2,2,1,2
46,2,3,3,1,1,1,1,1,80,95,21,28,2,2,2,1,1
47,2,9,4,1,1,1,1,1,90,98,41,38,2,2,2,1,1
48,1,5,5,3,1,1,1,1,35,80,50,70,2,2,2,1,6
49,2,9,9,3,1,2,1,1,88,90,86,81,2,2,2,1,5
50,2,3,3,3,2,2,1,1,98,90,86,71,2,2,2,1,5
51,2,9,4,3,2,2,1,1,88,90,76,81,2,2,2,1,5
52,2,3,3,3,1,3,1,1,90,91,80,81,2,2,2,1,6
53,1,4,4,3,1,3,1,1,15,97,22,10,2,2,2,1,6
54,1,4,4,3,1,3,1,1,85,90,52,30,2,2,2,1,6
55,1,5,5,1,2,8,1,1,50,70,19,15,2,2,2,1,1
56,2,5,5,1,2,8,1,1,80,90,55,19,2,2,2,1,1
57,2,10,10,1,2,8,1,1,70,12,40,50,2,2,2,1,1
58,2,13,13,1,2,8,1,1,55,89,40,40,2,2,2,1,1
59,1,5,5,1,3,8,1,1,14,60,11,75,2,2,2,1,1
60,2,5,5,3,1,9,1,1,50,88,30,80,2,2,2,1,5
61,2,3,3,1,1,1,2,1,78,70,31,29,2,2,2,1,1
62,2,9,4,1,1,1,2,1,80,88,51,39,2,2,2,1,1
63,2,9,9,3,1,2,2,1,89,92,89,83,2,2,2,1,5
64,2,3,3,3,2,2,2,1,89,92,89,83,2,2,2,1,5
65,2,9,4,3,2,2,2,1,99,96,89,84,2,2,2,1,5
66,2,3,3,3,1,3,2,1,80,90,80,83,2,2,2,1,6
67,1,4,4,3,1,3,2,1,19,98,20,2,2,2,2,1,6
68,1,4,4,3,1,3,2,1,79,91,49,22,2,2,2,1,6
69,2,5,5,1,1,4,2,1,59,97,42,70,2,2,2,1,2
70,2,5,5,1,2,5,2,1,40,62,83,33,2,2,2,1,1
71,2,5,5,1,1,7,2,1,10,17,12,40,2,2,2,1,2
72,2,5,5,1,1,9,2,1,15,6,32,40,2,2,2,1,2
73,2,5,5,3,1,10,2,1,80,80,15,70,2,2,2,1,5
74,2,5,5,3,1,10,2,1,80,90,55,19,2,2,2,1,5
75,2,10,10,2,1,10,2,1,80,80,51,59,2,2,2,1,9
76,1,5,5,3,1,11,2,1,80,94,62,77,2,2,2,1,4
77,1,3,3,1,2,1,1,2,89,92,40,28,2,2,2,1,1
78,2,3,3,1,2,1,1,2,69,82,20,28,2,2,2,1,1
79,1,3,3,3,1,2,1,2,86,98,50,20,2,2,2,1,5
80,2,4,9,3,1,2,1,2,78,91,50,40,2,2,2,1,5
81,1,11,11,3,1,2,1,2,96,95,70,70,2,2,2,1,5
82,1,4,4,3,1,3,1,2,82,89,22,31,2,2,2,1,6
83,1,4,4,3,1,3,1,2,85,99,42,90,2,2,2,1,6
84,1,4,4,3,1,4,1,2,51,79,85,89,2,2,2,1,4
85,2,9,4,3,1,4,1,2,72,21,22,26,2,2,2,1,4
86,1,6,6,3,1,4,1,2,95,82,82,70,2,2,2,1,4
87,1,5,5,2,1,4,1,2,70,4,39,90,2,2,2,1,10
88,1,5,5,2,1,4,1,2,13,80,40,88,2,2,2,1,10
89,1,13,13,2,1,4,1,2,65,75,23,80,2,2,2,1,10
90,1,4,4,1,1,5,1,2,60,97,13,3,2,2,2,1,1
91,2,4,4,1,1,5,1,2,60,92,83,23,2,2,2,1,1
92,2,4,4,1,2,5,1,2,30,98,42,21,2,2,2,1,1
93,1,6,6,1,2,5,1,2,72,98,52,15,2,2,2,1,1
94,1,4,4,3,1,6,1,2,90,79,76,79,2,2,2,1,6
95,1,4,4,3,1,6,1,2,80,82,64,58,2,2,2,1,6
96,2,4,4,3,1,7,1,2,87,92,74,89,2,2,2,1,6
97,2,14,14,2,1,8,1,2,80,90,70,80,2,2,2,1,8
98,1,13,13,2,1,8,1,2,70,69,35,30,2,2,2,1,10
99,1,4,4,1,2,8,1,2,70,88,55,40,2,2,2,1,1
100,1,5,5,1,2,8,1,2,70,92,50,7,2,2,2,1,1
101,2,5,5,3,2,8,1,2,70,50,40,99,2,2,2,1,5
102,1,9,9,1,1,11,1,2,90,86,82,74,2,2,2,1,2
103,1,5,5,2,1,11,1,2,49,70,19,75,2,2,2,1,9
104,1,4,4,1,2,11,1,2,55,79,44,43,2,2,2,1,2
105,2,4,4,1,2,11,1,2,65,59,74,83,2,2,2,1,2
106,1,4,6,1,2,11,1,2,78,88,74,83,2,2,2,1,2
107,2,6,4,3,1,1,2,2,87,65,82,33,2,2,2,1,6
108,2,5,5,3,1,1,2,2,75,71,72,53,2,2,2,1,6
109,2,5,5,3,1,1,2,2,92,65,62,53,2,2,2,1,6
110,1,6,6,3,1,1,2,2,45,58,52,43,2,2,2,1,6
111,1,3,3,1,2,1,2,2,79,93,49,23,2,2,2,1,1
112,2,3,3,1,2,1,2,2,70,83,29,33,2,2,2,1,1
113,1,3,3,3,1,2,2,2,90,90,57,22,2,2,2,1,5
114,2,4,9,3,1,2,2,2,70,98,54,72,2,2,2,1,5
115,1,11,11,3,1,2,2,2,80,91,87,72,2,2,2,1,5
116,1,4,4,3,1,3,2,2,84,92,29,43,2,2,2,1,6
117,1,4,4,3,1,3,2,2,89,96,45,92,2,2,2,1,6
118,1,4,4,3,1,4,2,2,81,79,91,85,2,2,2,1,4
119,2,9,4,3,1,4,2,2,92,31,42,27,2,2,2,1,4
120,1,6,6,3,1,4,2,2,90,62,80,60,2,2,2,1,4
121,1,4,4,1,1,5,2,2,50,95,23,10,2,2,2,1,1
122,2,4,4,1,1,5,2,2,50,90,83,13,2,2,2,1,1
123,2,4,4,1,2,5,2,2,35,97,41,23,2,2,2,1,1
124,2,5,5,1,2,5,2,2,60,52,23,33,2,2,2,1,1
125,1,6,6,1,2,5,2,2,75,90,51,17,2,2,2,1,1
126,1,8,8,1,2,5,2,2,72,65,73,66,2,2,2,1,1
127,2,12,12,1,2,5,2,2,80,92,83,43,2,2,2,1,1
128,1,4,4,3,1,6,2,2,84,77,79,68,2,2,2,1,6
129,1,4,4,3,1,6,2,2,87,93,63,60,2,2,2,1,6
130,2,4,4,3,1,7,2,2,81,84,77,85,2,2,2,1,6
131,1,1,1,3,1,10,2,2,70,80,95,70,2,2,2,1,5
132,1,6,6,3,1,10,2,2,100,75,50,70,2,2,2,1,5
133,1,5,13,2,1,10,2,2,70,80,95,70,2,2,2,1,9
134,1,9,9,1,1,11,2,2,62,64,72,84,2,2,2,1,2
135,1,4,4,1,2,11,2,2,62,64,69,49,2,2,2,1,2
136,2,4,4,1,2,11,2,2,72,64,59,89,2,2,2,1,2
137,1,4,6,1,2,11,2,2,72,84,89,89,2,2,2,1,2
138,2,1,1,3,2,11,2,2,92,80,88,76,2,2,2,1,5
139,1,4,4,3,2,11,2,2,82,89,58,50,2,2,2,1,5
140,2,5,5,3,1,12,2,2,72,83,12,90,2,2,2,1,6
141,2,4,10,3,3,12,2,2,27,90,82,14,2,2,2,1,6
142,2,12,12,3,3,12,2,2,87,81,42,19,2,2,2,1,6
143,1,4,4,1,1,1,1,1,10,20,22,97,1,1,1,2,1
144,2,5,5,3,1,1,1,1,25,15,12,33,1,1,1,2,6
145,1,4,4,1,2,1,1,1,11,20,20,98,1,1,1,2,1
146,2,4,4,1,2,1,1,1,10,10,40,51,1,1,1,2,1
147,1,4,4,3,1,3,1,1,15,9,14,80,1,1,1,2,6
148,1,4,4,3,1,3,1,1,2,7,4,8,1,1,1,2,6
149,2,4,10,3,1,3,1,1,10,0,2,41,1,1,1,2,6
150,2,5,5,1,1,4,1,1,8,22,9,40,1,1,1,2,3
151,2,5,5,1,1,4,1,1,7,10,1,30,1,1,1,2,3
152,2,5,5,3,1,4,1,1,10,12,17,30,1,1,1,2,5
153,1,5,5,2,1,4,1,1,20,14,12,70,1,1,1,2,10
154,2,5,5,2,1,4,1,1,13,5,18,19,1,1,1,2,10
155,2,4,4,1,1,5,1,1,10,15,10,21,1,1,1,2,1
156,2,4,4,1,1,5,1,1,10,15,10,21,1,1,1,2,1
157,1,4,4,3,1,7,1,1,30,17,14,57,1,1,1,2,6
158,2,5,5,1,1,8,1,1,8,25,1,70,1,1,1,2,1
159,2,5,5,1,1,8,1,1,10,7,0,30,1,1,1,2,2
160,2,5,5,1,1,8,1,1,30,25,5,35,1,1,1,2,2
161,2,5,5,1,1,8,1,1,5,1,0,11,1,1,1,2,2
162,2,5,5,3,1,8,1,1,0,0,0,4,1,1,1,2,4
163,1,5,5,3,1,8,1,1,14,13,3,70,1,1,1,2,5
164,2,5,5,3,1,8,1,1,2,0,2,50,1,1,1,2,5
165,2,5,5,2,1,8,1,1,0,5,7,2,1,1,1,2,8
166,1,5,5,1,2,8,1,1,2,6,2,8,1,1,1,2,1
167,2,5,5,1,2,8,1,1,1,0,1,12,1,1,1,2,1
168,2,5,5,1,2,8,1,1,1,7,6,10,1,1,1,2,1
169,2,5,5,1,2,8,1,1,2,5,3,50,1,1,1,2,1
170,2,5,5,1,2,8,1,1,25,27,0,69,1,1,1,2,1
171,2,5,5,1,2,8,1,1,11,2,0,50,1,1,1,2,1
172,2,5,5,1,2,8,1,1,55,33,6,9,1,1,1,2,1
173,1,5,5,1,3,8,1,1,7,9,5,30,1,1,1,2,1
174,2,5,5,3,1,9,1,1,35,12,0,17,1,1,1,2,5
175,2,6,6,3,1,9,1,1,20,14,12,19,1,1,1,2,6
176,2,5,5,2,1,10,1,1,13,3,11,9,1,1,1,2,9
177,1,4,4,1,1,11,1,1,49,36,32,44,1,1,1,2,2
178,2,4,4,1,1,11,1,1,10,12,20,13,1,1,1,2,2
179,2,5,5,3,2,11,1,1,12,11,8,40,1,1,1,2,5
180,1,4,4,1,1,1,2,1,5,9,19,98,1,1,1,2,1
181,2,5,5,1,1,1,2,1,39,26,12,44,1,1,1,2,2
182,1,4,4,1,2,1,2,1,10,12,29,93,1,1,1,2,1
183,2,4,4,1,2,1,2,1,35,2,29,23,1,1,1,2,1
184,2,4,4,3,2,1,2,1,29,10,12,24,1,1,1,2,6
185,2,8,8,3,2,1,2,1,27,15,42,53,1,1,1,2,6
186,1,4,4,3,1,3,2,1,9,6,15,85,1,1,1,2,6
187,1,4,4,3,1,3,2,1,5,4,5,8,1,1,1,2,6
188,2,4,10,3,1,3,2,1,11,2,9,49,1,1,1,2,6
189,2,4,4,1,1,5,2,1,30,10,20,5,1,1,1,2,1
190,2,4,4,1,1,5,2,1,30,10,20,5,1,1,1,2,1
191,2,2,2,1,2,5,2,1,10,2,13,53,1,1,1,2,1
192,2,4,4,1,2,5,2,1,50,62,13,33,1,1,1,2,1
193,2,5,5,1,1,7,2,1,10,17,12,14,1,1,1,2,2
194,1,4,4,3,1,7,2,1,35,14,23,62,1,1,1,2,6
195,2,5,5,1,3,8,2,1,0,3,10,3,1,1,1,2,1
196,1,5,5,3,1,10,2,1,70,40,2,16,1,1,1,2,4
197,2,5,5,3,1,10,2,1,10,10,15,19,1,1,1,2,5
198,2,12,12,3,1,10,2,1,19,65,50,10,1,1,1,2,5
199,1,4,4,1,1,11,2,1,42,24,12,24,1,1,1,2,2
200,2,4,4,1,1,11,2,1,22,34,15,9,1,1,1,2,2
201,2,4,4,3,2,11,2,1,52,10,13,6,1,1,1,2,5
202,2,5,5,3,2,11,2,1,12,8,18,26,1,1,1,2,5
203,2,5,5,3,2,11,2,1,22,20,18,6,1,1,1,2,5
204,2,12,5,3,2,11,2,1,22,51,48,10,1,1,1,2,5
205,2,5,5,3,1,12,2,1,5,17,21,10,1,1,1,2,6
206,2,10,13,2,2,12,2,1,10,51,40,40,1,1,1,2,9
207,2,5,5,3,3,12,2,1,17,50,2,4,1,1,1,2,6
208,2,12,12,3,3,12,2,1,7,61,22,14,1,1,1,2,6
209,2,4,4,3,1,2,1,2,2,9,10,1,1,1,1,2,5
210,2,5,5,2,1,4,1,2,12,50,8,30,1,1,1,2,10
211,2,5,5,1,3,8,1,2,0,4,8,30,1,1,1,2,1
212,2,6,6,3,1,1,2,2,10,35,30,13,1,1,1,2,6
213,2,4,4,3,1,2,2,2,3,8,19,3,1,1,1,2,5
214,2,5,5,1,1,4,2,2,69,34,12,17,1,1,1,2,2
215,2,4,4,1,2,1,1,1,10,30,50,91,2,1,1,2,1
216,2,12,12,3,1,10,1,1,10,60,5,20,2,1,1,2,5
217,2,4,4,1,2,1,2,1,12,22,59,83,2,1,1,2,1
218,2,5,5,2,1,4,1,1,39,15,16,50,1,2,1,2,10
219,2,4,4,1,1,5,1,1,40,7,50,41,1,2,1,2,1
220,1,5,5,1,2,8,1,1,80,44,35,10,1,2,1,2,1
221,2,5,5,1,2,8,1,1,12,30,0,17,1,2,1,2,1
222,2,5,5,3,1,10,1,1,20,12,15,70,1,2,1,2,5
223,2,4,4,1,1,5,2,1,35,2,29,33,1,2,1,2,1
224,2,5,5,3,3,12,2,1,5,21,42,14,1,2,1,2,6
225,2,4,10,1,2,1,1,2,4,10,11,7,1,2,1,2,1
226,1,7,7,3,2,2,1,2,10,9,2,1,1,2,1,2,5
227,1,4,4,1,1,4,1,2,21,10,28,20,1,2,1,2,3
228,2,7,7,1,1,5,1,2,10,8,9,3,1,2,1,2,1
229,2,1,1,1,2,5,1,2,5,13,6,6,1,2,1,2,1
230,2,7,7,1,2,5,1,2,20,3,9,3,1,2,1,2,1
231,2,4,10,1,2,1,2,2,5,0,1,8,1,2,1,2,1
232,1,7,7,3,2,2,2,2,9,7,9,3,1,2,1,2,5
233,2,1,1,1,1,4,2,2,19,74,32,17,1,2,1,2,2
234,2,7,7,1,1,5,2,2,15,7,12,7,1,2,1,2,1
235,2,1,1,1,2,5,2,2,7,9,11,10,1,2,1,2,1
236,2,2,2,1,2,5,2,2,20,22,53,13,1,2,1,2,1
237,2,7,7,1,2,5,2,2,15,4,12,7,1,2,1,2,1
238,1,5,5,1,1,8,1,1,2,19,10,50,2,2,1,2,5
239,2,4,4,3,1,8,1,1,22,30,10,12,2,2,1,2,5
240,2,5,5,3,1,8,1,1,8,7,30,40,2,2,1,2,5
241,2,5,5,3,1,8,1,1,4,5,40,16,2,2,1,2,5
242,2,5,5,2,1,8,1,1,10,12,7,33,2,2,1,2,7
243,1,5,5,1,2,8,1,1,0,0,5,80,2,2,1,2,1
244,2,5,5,1,2,8,1,1,7,5,2,80,2,2,1,2,1
245,2,5,5,1,2,8,1,1,5,20,1,50,2,2,1,2,1
246,2,5,5,1,2,8,1,1,4,8,10,60,2,2,1,2,1
247,2,5,5,1,2,8,1,1,0,8,11,70,2,2,1,2,1
248,2,5,5,3,2,8,1,1,0,2,3,70,2,2,1,2,5
249,2,5,5,3,1,9,1,1,16,14,6,20,2,2,1,2,5
250,2,5,5,3,1,9,1,1,5,2,6,5,2,2,1,2,5
251,2,13,13,3,2,9,1,1,19,5,4,1,2,2,1,2,6
252,2,5,5,3,1,1,2,1,15,25,37,13,2,2,1,2,6
253,2,5,5,1,1,8,2,1,12,60,0,70,2,2,1,2,1
254,2,11,4,3,1,12,2,1,9,7,21,20,2,2,1,2,6
255,2,4,4,3,1,3,1,2,75,72,64,39,2,2,1,2,6
256,2,5,5,3,2,11,1,2,8,6,4,22,2,2,1,2,5
257,2,4,4,3,1,3,2,2,72,76,66,40,2,2,1,2,6
258,2,11,11,1,2,5,2,2,20,52,23,33,2,2,1,2,1
259,1,5,5,1,2,8,1,1,3,12,4,33,1,1,2,2,1
260,2,5,5,1,2,8,1,1,19,70,3,50,1,1,2,2,1
261,2,5,5,3,2,8,1,1,12,0,6,13,1,1,2,2,5
262,2,5,5,1,3,8,1,1,12,10,20,16,1,1,2,2,1
263,2,5,5,3,1,9,1,1,11,2,2,8,1,1,2,2,5
264,2,5,5,3,1,1,2,1,23,25,32,53,1,1,2,2,6
265,2,5,5,3,2,12,2,1,2,11,62,30,1,1,2,2,6
266,2,5,5,1,3,8,1,1,0,6,4,15,2,1,2,2,1
267,2,5,5,3,1,9,1,1,8,15,10,40,2,1,2,2,5
268,2,5,5,1,2,8,1,1,70,90,2,2,2,2,2,2,1
269,2,5,5,3,1,12,2,1,5,3,2,10,2,2,2,2,6
270,2,4,4,3,1,4,1,1,40,38,32,36,1,1,1,3,4
271,1,5,5,2,1,4,1,1,25,10,19,30,1,1,1,3,10
272,2,5,5,1,1,8,1,1,40,50,12,50,1,1,1,3,2
273,1,5,5,3,1,8,1,1,60,60,33,90,1,1,1,3,5
274,2,10,10,1,2,8,1,1,7,12,5,3,1,1,1,3,1
275,2,5,5,3,2,8,1,1,36,30,20,80,1,1,1,3,5
276,2,5,5,3,1,9,1,1,55,13,35,90,1,1,1,3,5
277,2,10,13,2,2,4,2,1,70,50,33,41,1,1,1,3,9
278,1,5,5,3,1,9,2,1,87,48,82,96,1,1,1,3,4
279,2,1,5,3,2,11,2,1,12,20,38,46,1,1,1,3,5
280,1,4,13,1,2,5,2,2,60,82,93,43,1,1,1,3,1
281,2,1,1,1,1,9,2,2,49,94,42,7,1,1,1,3,2
282,2,2,2,3,1,12,2,2,51,42,12,29,1,1,1,3,6
283,2,4,4,3,1,4,1,1,10,8,10,10,2,1,1,3,4
284,1,5,5,3,1,4,1,1,19,30,26,19,2,1,1,3,5
285,1,5,5,1,1,8,1,1,42,30,13,70,2,1,1,3,2
286,2,5,5,1,2,8,1,1,50,7,9,50,2,1,1,3,1
287,2,4,4,3,1,4,2,1,18,28,40,20,2,1,1,3,4
288,2,4,4,3,1,4,2,1,41,39,35,39,2,1,1,3,4
289,1,4,4,1,2,5,2,1,50,62,73,43,2,1,1,3,1
290,2,5,5,1,1,7,2,1,61,97,82,64,2,1,1,3,2
291,2,4,4,1,2,1,1,2,20,90,50,61,2,1,1,3,1
292,2,4,4,1,2,1,2,2,32,82,59,63,2,1,1,3,1
293,2,2,2,3,3,12,2,2,27,41,32,61,2,1,1,3,6
294,2,4,4,3,1,2,1,1,39,71,40,26,1,2,1,3,5
295,2,5,5,1,2,8,1,1,7,4,10,50,1,2,1,3,1
296,2,4,4,1,1,11,1,1,18,17,26,34,1,2,1,3,2
297,2,4,4,1,2,11,1,1,25,29,34,33,1,2,1,3,2
298,2,4,4,3,1,2,2,1,35,80,34,22,1,2,1,3,5
299,2,5,5,1,1,8,2,1,65,86,62,40,1,2,1,3,2
300,2,4,4,1,1,11,2,1,32,14,32,29,1,2,1,3,2
301,2,4,4,1,2,11,2,1,42,34,29,39,1,2,1,3,2
302,2,4,4,1,1,1,1,1,20,88,31,28,2,2,1,3,1
303,2,4,4,1,1,1,1,1,10,18,71,38,2,2,1,3,1
304,2,4,4,3,1,4,1,1,19,80,12,17,2,2,1,3,4
305,2,3,3,3,1,6,1,1,80,83,82,71,2,2,1,3,6
306,1,4,4,3,1,6,1,1,25,82,52,20,2,2,1,3,6
307,2,3,3,3,1,7,1,1,72,87,72,89,2,2,1,3,6
308,1,5,5,1,2,8,1,1,66,90,55,12,2,2,1,3,1
309,2,5,5,1,2,8,1,1,0,12,3,3,2,2,1,3,1
310,2,11,11,3,1,10,1,1,19,72,15,50,2,2,1,3,5
311,2,3,3,1,1,11,1,1,90,86,82,74,2,2,1,3,2
312,2,4,4,1,1,1,2,1,10,98,41,38,2,2,1,3,1
313,2,4,4,1,1,1,2,1,10,58,51,48,2,2,1,3,1
314,2,4,4,3,1,4,2,1,11,70,32,29,2,2,1,3,4
315,2,3,3,3,1,6,2,1,71,81,83,72,2,2,1,3,6
316,1,4,4,3,1,6,2,1,29,78,40,12,2,2,1,3,6
317,2,3,3,3,1,7,2,1,69,77,83,92,2,2,1,3,6
318,2,3,3,1,1,11,2,1,62,64,72,84,2,2,1,3,2
319,2,5,5,3,2,11,2,1,72,80,58,66,2,2,1,3,5
320,1,4,4,3,1,2,1,2,88,81,50,10,2,2,1,3,5
321,2,4,4,3,1,3,1,2,80,80,62,11,2,2,1,3,6
322,2,4,4,3,1,3,1,2,85,87,72,10,2,2,1,3,6
323,1,4,4,1,1,5,1,2,60,87,23,11,2,2,1,3,1
324,1,4,4,3,1,6,1,2,70,69,46,45,2,2,1,3,6
325,2,4,4,3,1,7,1,2,69,77,76,75,2,2,1,3,6
326,1,5,5,1,3,8,1,2,77,80,12,19,2,2,1,3,1
327,1,5,5,1,3,8,1,2,24,35,23,22,2,2,1,3,1
328,2,9,4,1,2,11,1,2,95,57,74,89,2,2,1,3,2
329,1,4,4,3,1,2,2,2,90,88,54,12,2,2,1,3,5
330,2,4,4,3,1,3,2,2,81,82,69,13,2,2,1,3,6
331,2,4,4,3,1,3,2,2,79,88,79,20,2,2,1,3,6
332,1,4,4,1,1,5,2,2,50,80,20,15,2,2,1,3,1
333,2,4,4,1,2,5,2,2,55,72,83,14,2,2,1,3,1
334,1,4,4,3,1,6,2,2,74,62,49,43,2,2,1,3,6
335,1,5,5,1,1,7,2,2,21,27,52,34,2,2,1,3,2
336,2,4,4,3,1,7,2,2,70,76,65,70,2,2,1,3,6
337,2,9,4,1,2,11,2,2,82,84,79,79,2,2,1,3,2
338,1,4,4,3,2,11,2,2,32,80,58,46,2,2,1,3,5
339,1,5,5,3,2,11,2,2,72,80,58,66,2,2,1,3,5
340,2,5,5,3,2,11,2,2,32,60,58,66,2,2,1,3,5
341,2,4,4,1,1,1,1,1,10,17,50,21,1,1,2,3,1
342,1,5,5,3,1,1,1,1,30,90,33,35,1,1,2,3,6
343,2,4,4,3,2,2,1,1,50,79,10,31,1,1,2,3,5
344,2,4,4,3,1,4,1,1,42,21,2,16,1,1,2,3,4
345,1,5,5,2,1,4,1,1,55,90,16,40,1,1,2,3,10
346,2,11,11,1,1,5,1,1,24,35,18,31,1,1,2,3,1
347,1,4,4,3,1,6,1,1,50,77,14,28,1,1,2,3,6
348,2,4,10,3,1,6,1,1,95,87,62,81,1,1,2,3,6
349,2,4,4,3,1,8,1,1,39,40,11,33,1,1,2,3,5
350,2,5,5,3,1,8,1,1,15,21,2,90,1,1,2,3,5
351,1,5,5,2,1,8,1,1,33,33,30,90,1,1,2,3,7
352,1,5,5,1,2,8,1,1,6,2,38,12,1,1,2,3,1
353,2,5,5,1,2,8,1,1,90,70,30,14,1,1,2,3,1
354,1,5,5,3,2,8,1,1,10,12,4,80,1,1,2,3,5
355,1,5,5,1,3,8,1,1,10,3,0,30,1,1,2,3,1
356,2,5,5,1,3,8,1,1,60,60,3,60,1,1,2,3,1
357,2,4,4,1,1,1,2,1,35,2,29,23,1,1,2,3,1
358,1,5,5,3,1,1,2,1,85,66,12,23,1,1,2,3,6
359,1,6,6,3,1,1,2,1,25,15,32,53,1,1,2,3,6
360,2,5,5,3,2,1,2,1,45,95,12,13,1,1,2,3,6
361,2,4,4,3,2,2,2,1,53,88,9,33,1,1,2,3,5
362,2,11,11,1,1,5,2,1,27,20,33,35,1,1,2,3,1
363,1,4,4,3,1,6,2,1,55,74,25,29,1,1,2,3,6
364,2,4,10,3,1,6,2,1,87,79,73,98,1,1,2,3,6
365,1,4,4,3,1,10,2,1,60,55,30,40,1,1,2,3,5
366,1,6,6,3,1,10,2,1,10,79,30,30,1,1,2,3,5
367,1,5,5,1,1,11,2,1,69,76,82,94,1,1,2,3,2
368,2,5,5,3,3,12,2,1,70,81,39,84,1,1,2,3,6
369,2,5,5,3,3,12,2,1,17,61,42,14,1,1,2,3,6
370,1,4,4,3,1,4,1,2,70,64,42,32,1,1,2,3,4
371,2,4,4,1,2,5,1,2,40,87,50,41,1,1,2,3,1
372,2,4,13,3,1,10,1,2,100,85,85,70,1,1,2,3,5
373,1,5,13,2,1,10,1,2,60,80,50,40,1,1,2,3,9
374,1,4,4,1,2,11,1,2,11,20,21,23,1,1,2,3,2
375,2,8,8,3,1,1,2,2,81,75,62,53,1,1,2,3,6
376,2,8,8,3,1,1,2,2,53,75,72,23,1,1,2,3,6
377,2,4,4,1,2,5,2,2,35,92,29,33,1,1,2,3,1
378,2,5,5,1,2,5,2,2,51,82,53,43,1,1,2,3,1
379,2,5,5,1,2,5,2,2,30,12,29,23,1,1,2,3,1
380,2,6,6,1,2,5,2,2,40,51,20,33,1,1,2,3,1
381,1,4,4,1,2,11,2,2,12,44,25,39,1,1,2,3,2
382,2,4,4,3,2,11,2,2,72,80,58,66,1,1,2,3,5
